ID,Name,Concepticon_ID,Concepticon_Gloss,Parameter,Group,Dataset
fBW,female ego's brother's wife,,,fBW,Affines,varikin;parabank
fD,female ego's daughter,,,fD,children,varikin;parabank
fDD,female ego's daugher's daughter,,,fDD,Grandparents & -children,varikin;parabank
fDH,female ego's daughter's husband,2266,SON-IN-LAW (OF WOMAN),fDH,Affines,varikin;parabank
fDS,female ego's daughter's son,,,fDS,Grandparents & -children,varikin;parabank
fF,female ego's father,,,fF,Parents,varikin;parabank
fFBD,female ego's father's brother's daughter,,,fFBD,Cousins,varikin;parabank
fFBS,female ego's father's brother's son,,,fFBS,Cousins,varikin;parabank
fFF,female ego's father's father,,,fFF,Grandparents & -children,varikin;parabank
fFM,female ego's father's mother,,,fFM,Grandparents & -children,varikin;parabank
fFZD,female ego's father's sister's daughter,,,fFZD,Cousins,varikin;parabank
fFZS,female ego's father's sister's son,,,fFZS,Cousins,varikin;parabank
fFeB,female ego's father's older brother,,,fFeB,Uncles & Aunts,varikin;parabank
fFeBW,fFeBW,,,fFeBW,,parabank
fFeZ,female ego's father's older sister,,,fFeZ,Uncles & Aunts,varikin;parabank
fFyB,female ego's father's younger brother,,,fFyB,Uncles & Aunts,varikin;parabank
fFyZ,female ego's father's younger sister,,,fFyZ,Uncles & Aunts,varikin;parabank
fFyZD,female ego‘s father‘s younger sister‘s daughter,,,fFyZD,Cousins by relative age of parent,varikin;parabank
fFyZS,female ego‘s father‘s younger sister‘s son,,,fFyZS,Cousins by relative age of parent,varikin;parabank
fH,female ego‘s husband,1200,HUSBAND,fH,Affines,varikin;parabank
fHB,female ego's husband's brother,,,fHB,Affines,varikin;parabank
fHBW,female ego's husband's brother's wife,,,fHBW,Affines,parabank
fHF,female ego's husband's father,2254,FATHER-IN-LAW (OF WOMAN),fHF,Affines,varikin;parabank
fHM,female ego's husband's mother,2256,MOTHER-IN-LAW (OF WOMAN),fHM,Affines,varikin;parabank
fHZ,female ego's husband's sister,,,fHZ,Affines,varikin;parabank
fHZH,female ego's husband's sister's husband,,,fHZH,Affines,varikin;parabank
fM,female ego's mother,,,fM,Parents,varikin;parabank
fMBD,female ego's mother's brother's daughter,,,fMBD,Cousins,varikin;parabank
fMBS,female ego's mother's brother's son,,,fMBS,Cousins,varikin;parabank
fMF,female ego's mother's father,,,fMF,Grandparents & -children,varikin;parabank
fMM,female ego's mother's mother,,,fMM,Grandparents & -children,varikin;parabank
fMZD,female ego's mother's sister's daughter,,,fMZD,Cousins,varikin;parabank
fMZS,female ego's mother's sister's son,,,fMZS,Cousins,varikin;parabank
fMeB,female ego's mother's older brother,,,fMeB,Uncles & Aunts,varikin;parabank
fMeZ,female ego's mother's older sister,,,fMeZ,Uncles & Aunts,varikin;parabank
fMyB,female ego's mother's younger brother,,,fMyB,Uncles & Aunts,varikin;parabank
fMyZ,female ego's mother's younger sister,,,fMyZ,Uncles & Aunts,varikin;parabank
fS,female ego's son,,,fS,children,varikin;parabank
fSD,female ego's son's daughter,,,fSD,Grandparents & -children,varikin;parabank
fSS,female ego's son's son,,,fSS,Grandparents & -children,varikin;parabank
fSW,female ego's son's wife,2264,DAUGHTER-IN-LAW (OF WOMAN),fSW,Affines,varikin;parabank
fZH,female ego's sister's husband,,,fZH,Affines,varikin;parabank
feB,female ego's older brother,2415,OLDER BROTHER (OF WOMAN),feB,Siblings,varikin;parabank
feBD,female ego's older brother's daughter,,,feBD,Nieces & Nephews,varikin;parabank
feBS,female ego's older brother's son,,,feBS,Nieces & Nephews,varikin;parabank
feZ,female ego's older sister,2419,OLDER SISTER (OF WOMAN),feZ,Siblings,varikin;parabank
feZD,female ego's older sister's daughter,,,feZD,Nieces & Nephews,varikin;parabank
feZS,female ego's older sister's son,,,feZS,Nieces & Nephews,varikin;parabank
fyB,female ego's younger brother,2417,YOUNGER BROTHER (OF WOMAN),fyB,Siblings,varikin;parabank
fyBD,female ego's younger brother's daughter,,,fyBD,Nieces & Nephews,varikin;parabank
fyBS,female ego's younger brother's son,,,fyBS,Nieces & Nephews,varikin;parabank
fyZ,female ego's younger sister,2421,YOUNGER SISTER (OF WOMAN),fyZ,Siblings,varikin;parabank
fyZD,female ego's younger sister's daughter,,,fyZD,Nieces & Nephews,varikin;parabank
fyZS,female ego's younger sister's son,,,fyZS,Nieces & Nephews,varikin;parabank
mBW,male ego's brother's wife,,,mBW,Affines,varikin;parabank
mD,male ego's daughter,,,mD,children,varikin;parabank
mDD,male ego's daughter's daughter,,,mDD,Grandparents & -children,varikin;parabank
mDH,male ego's daughter's husband,2267,SON-IN-LAW (OF MAN),mDH,Affines,varikin;parabank
mDS,male ego's daughter's son,,,mDS,Grandparents & -children,varikin;parabank
mF,male ego's father,,,mF,Parents,varikin;parabank
mFBD,male ego's father's brother's daughter,,,mFBD,Cousins,varikin;parabank
mFBS,male ego's father's brother's son,,,mFBS,Cousins,varikin;parabank
mFF,male ego's father‘s father,,,mFF,Grandparents & -children,varikin;parabank
mFM,male ego's father's mother,,,mFM,Grandparents & -children,varikin;parabank
mFZD,male ego's father's sister's daughter,,,mFZD,Cousins,varikin;parabank
mFZS,male ego's father's sister's son,,,mFZS,Cousins,varikin;parabank
mFeB,male ego's father's older brother,,,mFeB,Uncles & Aunts,varikin;parabank
mFeBW,male ego's father‘s older brother‘s wife,,,mFeBW,Affines,parabank
mFeZ,male ego's father's older sister,,,mFeZ,Uncles & Aunts,varikin;parabank
mFyB,male ego's father's younger brother,,,mFyB,Uncles & Aunts,varikin;parabank
mFyZ,male ego's father's younger sister,,,mFyZ,Uncles & Aunts,varikin;parabank
mFyZD,male ego‘s father‘s younger sister‘s daughter,,,mFyZD,Cousins by relative age of parent,varikin;parabank
mFyZS,male ego‘s father‘s younger sister‘s son,,,mFyZS,Cousins by relative age of parent,varikin;parabank
mM,male ego's mother,,,mM,Parents,varikin;parabank
mMBD,male ego's mother's brother's daughter,,,mMBD,Cousins,varikin;parabank
mMBS,male ego's mother's brother's son,,,mMBS,Cousins,varikin;parabank
mMF,male ego's mother's father,,,mMF,Grandparents & -children,varikin;parabank
mMM,male ego's mother's mother,,,mMM,Grandparents & -children,varikin;parabank
mMZD,male ego's mother's sister's daughter,,,mMZD,Cousins,varikin;parabank
mMZS,male ego's mother's sister's son,,,mMZS,Cousins,varikin;parabank
mMeB,male ego's mother's older brother,,,mMeB,Uncles & Aunts,varikin;parabank
mMeZ,male ego's mother's older sister,,,mMeZ,Uncles & Aunts,varikin;parabank
mMyB,male ego's mother's younger brother,,,mMyB,Uncles & Aunts,varikin;parabank
mMyZ,male ego's mother's younger sister,,,mMyZ,Uncles & Aunts,varikin;parabank
mS,male ego's son,,,mS,Children,varikin;parabank
mSD,male ego's son's daughter,,,mSD,Grandparents & -children,varikin;parabank
mSS,male ego's son's son,,,mSS,Grandparents & -children,varikin;parabank
mSW,male ego's son's wife,2265,DAUGHTER-IN-LAW (OF MAN),mSW,Affines,varikin;parabank
mW,male ego's wife,1199,WIFE,mW,Affines,varikin;parabank
mWB,male ego's wife's brother,2380,BROTHER-IN-LAW (OF MAN),mWB,Affines,varikin;parabank
mWBW,male ego's wife's brother's wife,,,mWBW,Affines,varikin;parabank
mWF,male ego's wife's father,2255,FATHER-IN-LAW (OF MAN),mWF,Affines,varikin;parabank
mWM,male ego's wife's mother,2257,MOTHER-IN-LAW (OF MAN),mWM,Affines,varikin;parabank
mWZ,male ego's wife's sister,,,mWZ,Affines,varikin;parabank
mWZH,male ego's wife's sister's husband,,,mWZH,Affines,varikin;parabank
mZH,male ego's sister's husband,,,mZH,Affines,varikin;parabank
meB,male ego's older brother,2414,OLDER BROTHER (OF MAN),meB,Siblings,varikin;parabank
meBD,male ego's older brother's daughter,,,meBD,Nieces & Nephews,varikin;parabank
meBS,male ego's older brother's son,,,meBS,Nieces & Nephews,varikin;parabank
meZ,male ego's older sister,2418,OLDER SISTER (OF MAN),meZ,Siblings,varikin;parabank
meZD,male ego's older sister's daughter,,,meZD,Nieces & Nephews,varikin;parabank
meZS,male ego's older sister's son,,,meZS,Nieces & Nephews,varikin;parabank
myB,male ego's younger brother,2416,YOUNGER BROTHER (OF MAN),myB,Siblings,varikin;parabank
myBD,male ego's younger brother's daughter,,,myBD,Nieces & Nephews,varikin;parabank
myBS,male ego's younger brother's son,,,myBS,Nieces & Nephews,varikin;parabank
myZ,male ego's younger sister,2420,YOUNGER SISTER (OF MAN),myZ,Siblings,varikin;parabank
myZD,male ego's younger sister's daughter,,,myZD,Nieces & Nephews,varikin;parabank
myZS,male ego's younger sister's son,,,myZS,Nieces & Nephews,varikin;parabank
fA,female ego's ancestor,,,fA,Grandparents & -children,varikin
fB,female ego's brother,,,fB,Siblings,varikin
fBD,female ego's brother's daughter,,,fBD,Nieces & Nephews,varikin
fBS,female ego's brother's son,,,fBS,Nieces & Nephews,varikin
fC,female ego's child,,,fC,Children,varikin
fCC,female ego's child's child,,,fCC,Grandparents & -children,varikin
fDHF,female ego's daughter husband's father,,,fDHF,Affines,varikin
fDHM,female ego's daughter husband's mother,,,fDHM,Affines,varikin
fE,female ego's spouse,,,fE,Affines,varikin
fFB,female ego's father's brother,,,fFB,Uncles & Aunts,varikin
fFBW,female ego's father's brother's wife,,,fFBW,Affines,varikin
fFW_notM,female ego's father's wife (not mother),,,fFW(notM),Affines,varikin
fFZ,female ego's father's sister,,,fFZ,Uncles & Aunts,varikin
fFZH,female ego's father's sister's husband,,,fFZH,Affines,varikin
fG,female ego's grandparent,,,fG,Grandparents & -children,varikin
fHeB,female ego's husband's elder brother,,,fHeB,Affines,varikin
fHeBW,female ego's husband's elder brother's wife,,,fHeBW,Affines,varikin
fHyB,female ego's husband's younger brother,,,fHyB,Affines,varikin
fHyBW,female ego's husband's younger brother's wife,,,fHyBW,Affines,varikin
fMB,female ego's mother's brother,,,fMB,Uncles & Aunts,varikin
fMBW,female ego's mother's brother's wife,,,fMBW,Affines,varikin
fMH_notF,female ego's mother's husband (not father),,,fMH(notF),Affines,varikin
fMZ,female ego's mother's sister,,,fMZ,Uncles & Aunts,varikin
fMZH,female ego's mother's sister's husband,,,fMZH,Affines,varikin
fP,female ego's parent,,,fP,,varikin
fPP,female ego's parents' parent,,,fPP,Grandparents & -children,varikin
fSWF,female ego's son's wife's father,,,fSWF,Affines,varikin
fSWM,female ego's son's wife's mother,,,fSWM,Affines,varikin
fW,female ego's wife,,,fW,Affines,varikin
fWB,female ego's wife's brother,,,fWB,Affines,varikin
fWBW,female ego's wife's brother's wife,,,fWBW,Affines,varikin
fWF,female ego's wife's father,,,fWF,Affines,varikin
fWM,female ego's wife's mother,,,fWM,Affines,varikin
fWZ,female ego's wife's sister,,,fWZ,Affines,varikin
fWZH,female ego's wife's sister's husband,,,fWZH,Affines,varikin
fWeZ,female ego's wife's elder sister,,,fWeZ,Affines,varikin
fWyB,female ego's wife's younger brother,,,fWyB,Affines,varikin
fWyZ,female ego's wife's younger sister,,,fWyZ,Affines,varikin
fZ,female ego's sister,,,fZ,Siblings,varikin
fZD,female ego's sister's daughter,,,fZD,Nieces & Nephews,varikin
fZS,female ego's sister's son,,,fZS,,varikin
feBW,female ego's elder brother's wife,,,feBW,Affines,varikin
feZH,female ego's elder sister's husband,,,feZH,Affines,varikin
fyBW,female ego's younger brother wife,,,fyBW,Affines,varikin
fyZH,female ego's younger sister's husband,,,fyZH,Affines,varikin
mA,male ego's ancestor,,,mA,Grandparents & -children,varikin
mB,male ego's brother,,,mB,Siblings,varikin
mBD,male ego's brother's daughter,,,mBD,Nieces & Nephews,varikin
mBS,male ego's brother's son,,,mBS,Nieces & Nephews,varikin
mC,male ego's child,,,mC,Children,varikin
mCC,male ego's child's child,,,mCC,Grandparents & -children,varikin
mDHF,male ego's daughter's husband's father,,,mDHF,Affines,varikin
mDHM,male ego's daughter's husband's mother,,,mDHM,Affines,varikin
mE,male ego's spouse,,,mE,Affines,varikin
mFB,male ego's father's brother,,,mFB,Uncles & Aunts,varikin
mFBW,male ego's father's brother's wife,,,mFBW,Affines,varikin
mFW_notM,male ego's father's wife (not mother),,,mFW(notM),Affines,varikin
mFZ,male ego's father's sister,,,mFZ,Uncles & Aunts,varikin
mFZH,male ego's father's sister's husband,,,mFZH,Affines,varikin
mG,male ego's Grandparent,,,mG,,varikin
mH,male ego's husband,,,mH,Affines,varikin
mHB,male ego's husband's brother,,,mHB,Affines,varikin
mHF,male ego's husband's father,,,mHF,Affines,varikin
mHM,male ego's husband's mother,,,mHM,Affines,varikin
mHZ,male ego's husband's sister,,,mHZ,Affines,varikin
mHZH,male ego's husband's sister's husband,,,mHZH,Affines,varikin
mHeB,male ego's husband's elder brother,,,mHeB,Affines,varikin
mHeBW,male ego's husband's elder brother's wife,,,mHeBW,Affines,varikin
mHyB,male ego's husband's younger brother,,,mHyB,Affines,varikin
mHyBW,male ego's husband's younger brother's wife,,,mHyBW,Affines,varikin
mMB,male ego's mother's brother,,,mMB,Uncles & Aunts,varikin
mMBW,male ego's mother's brother's wife,,,mMBW,Affines,varikin
mMH_notF,male ego's mother's husband's (not father),,,mMH(notF),Affines,varikin
mMZ,male ego's mother's sister,,,mMZ,Uncles & Aunts,varikin
mMZH,male ego's mother's sister's husband,,,mMZH,Affines,varikin
mP,male ego's parent,,,mP,,varikin
mPP,male ego's parent's parent,,,mPP,,varikin
mSWF,male ego's son's wife's father,,,mSWF,Affines,varikin
mSWM,male ego's son's wife's mother,,,mSWM,Affines,varikin
mWeZ,male ego's wife's elder sister,,,mWeZ,Affines,varikin
mWyB,male ego's wife's younger brother,,,mWyB,Affines,varikin
mWyZ,male ego's wife's younger sister,,,mWyZ,Affines,varikin
mZ,male ego's sister,,,mZ,Siblings,varikin
mZD,male ego's sister's daughter,,,mZD,Nieces & Nephews,varikin
mZS,male ego's sister's son,,,mZS,Nieces & Nephews,varikin
meBW,male ego's elder brother's wife,,,meBW,Affines,varikin
meZH,male ego's elder sister's husband,,,meZH,Affines,varikin
myBW,male ego's younger brother's wife,,,myBW,Affines,varikin
myZH,male ego's younger sister's husband,,,myZH,Affines,varikin
mHBW,male ego's husband's brother's wife,,,mHBW,Affines,
mWeB,male speaker's wife's elder brother,,,mWeB,Affines,varikin
fHyZ,female speaker's husband's younger sister,,,fHyZ,Affines,varikin
fHeZ,female speaker's husband's elder sister,,,fHeZ,Affines,varikin
mMeZH,male speaker's mother's elder sister's husband,,,mMeZH,Affines,varikin
fMeZH,female speaker's mother's elder sister's husband,,,fMeZH,Affines,varikin
mMyZH,male speaker's mother's younger sister's husband,,,mMyZH,Affines,varikin
fMyZH,female speaker's mother's younger sister's husband,,,fMyZH,Affines,varikin
mFyBW,male speaker's father's younger brother's wife,,,mFyBW,Affines,varikin
fFyBW,female speaker's father's younger brother's wife,,,fFyBW,Affines,varikin
mWyBW,male speaker's wife's younger brother's wife,,,mWyBW,Affines,varikin
mWeZH,male speaker's wife's elder sister's husband,,,mWeZH,Affines,varikin
mWyZH,male speaker's wife's younger sister's husband,,,mWyZH,Affines,varikin
fHyZH,female speaker's husband's younger sister's husband,,,fHyZH,Affines,varikin
mHeZ,male speaker's husband's elder sister,,,mHeZ,Affines,varikin
mHyZ,male speaker's husband's younger sister,,,mHyZ,Affines,varikin
mFeZH,male speaker's father's elder sister's husband,,,mFeZH,Affines,varikin
fFeZH,female speaker's father's elder sister's husband,,,fFeZH,Affines,varikin
mMeBW,male speaker's mother's elder brother's wife,,,mMeBW,Affines,varikin
fMeBW,female speaker's mother's elder brother's wife,,,fMeBW,Affines,varikin
mMyBW,male speaker's mother's younger brother's wife,,,mMyBW,Affines,kinura
fMyBW,female speaker's mother's younger brother's wife,,,fMyBW,Affines,kinura
fWyBW,female speaker's wife's younger brother's wife,,,fWyBW,Affines,kinura
mFyZH,male speaker's father's younger sister's husband,,,mFyZH,Affines,kinura
fFyZH,female speaker's father's younger sister's husband,,,fFyZH,Affines,kinura
fWeZH,female speaker's wife's elder sister's husband,,,fWeZH,Affines,kinura
fWyZH,female speaker's wife's younger sister's husband,,,fWyZH,Affines,kinura 
fWeB,female speaker's wife's elder brother,,,fWeB, Affines,kinura
mHyZH,male speaker's husband's younger sister's husband,,,mHyZH,Affines,kinura
